size,OMP-threads,time
5000,40,1.554837
5000,40,1.561519
5000,40,1.555131
5000,40,1.560365
5000,40,1.552400
5000,40,1.771255
5000,41,1.555990
5000,41,1.542059
5000,41,1.564877
5000,41,1.555076
5000,41,1.541220
5000,41,1.542840
5000,41,1.542639
5000,41,1.543491
5000,41,1.541800
5000,41,1.542060
5000,42,1.532043
5000,42,1.549104
5000,42,1.539706
5000,42,1.538142
5000,42,1.532562
5000,42,1.531319
5000,42,1.535941
5000,42,1.532182
5000,42,1.546810
5000,42,1.543993
5000,43,1.521534
5000,43,1.535836
5000,43,1.537699
5000,43,1.532360
5000,43,1.520580
5000,43,1.520808
5000,43,1.542082
5000,43,1.536700
5000,43,1.534628
5000,43,1.524230
5000,44,1.523434
5000,44,1.528336
5000,44,1.511153
5000,44,1.523953
5000,44,1.515090
5000,44,1.511685
5000,44,1.512381
5000,44,1.523645
5000,44,1.511866
5000,44,1.527424
5000,45,1.514886
5000,45,1.502622
5000,45,1.504371
5000,45,1.501672
5000,45,1.502671
5000,45,1.518822
5000,45,1.502152
5000,45,1.518139
5000,45,1.501893
5000,45,1.501311
5000,46,1.510979
5000,46,1.663907
5000,46,1.507882
5000,46,1.493239
5000,46,1.493270
5000,46,1.491660
5000,46,1.503307
5000,46,1.492744
5000,46,1.491998
5000,46,1.492425
5000,47,1.484238
5000,47,1.484010
5000,47,1.520305
5000,47,1.491467
5000,47,1.496502
5000,47,1.494050
5000,47,1.483922
5000,47,1.481622
5000,47,1.494807
5000,47,1.494889
5000,48,1.493152
5000,48,1.496532
5000,48,1.490840
5000,48,1.486259
5000,48,1.493446
5000,48,1.488538
5000,48,1.517812
5000,48,1.475870
5000,48,1.491567
5000,48,1.485785
5000,49,1.571338
5000,49,1.467556
5000,49,1.467081
5000,49,1.479697
5000,49,1.479353
5000,49,1.466341
5000,49,1.475538
5000,49,1.467273
5000,49,1.493707
5000,49,1.483696
5000,50,1.474045
5000,50,1.464694
5000,50,1.459787
5000,50,1.459826
5000,50,1.457934
5000,50,1.457974
5000,50,1.471694
5000,50,1.458048
5000,50,1.472826
5000,50,1.459540
5000,51,1.467189
5000,51,1.451361
5000,51,1.451326
5000,51,1.461151
5000,51,1.450909
5000,51,1.453486
5000,51,1.450934
5000,51,1.451001
5000,51,1.450850
5000,51,1.452603
5000,52,1.444716
5000,52,1.444574
5000,52,1.443255
5000,52,1.444690
5000,52,1.444565
5000,52,1.456040
5000,52,1.444214
5000,52,1.444742
5000,52,1.444455
5000,52,1.444393
5000,53,1.437421
5000,53,1.436267
5000,53,1.449297
5000,53,1.437368
5000,53,1.437051
5000,53,1.437510
5000,53,1.437924
5000,53,1.451166
5000,53,1.436855
5000,53,1.451064
5000,54,1.430563
5000,54,1.430840
5000,54,1.442345
5000,54,1.450779
5000,54,1.430316
5000,54,1.447173
5000,54,1.430725
5000,54,1.431411
5000,54,1.447307
5000,54,1.441275
5000,55,1.434204
5000,55,1.425240
5000,55,1.441272
5000,55,1.424672
5000,55,1.440617
5000,55,1.437227
5000,55,1.435569
5000,55,1.423903
5000,55,1.423851
5000,55,1.443069
5000,56,1.431701
5000,56,1.437531
5000,56,1.421266
5000,56,1.418069
5000,56,1.422559
5000,56,1.417846
5000,56,1.418577
5000,56,1.415968
5000,56,1.430857
